Date,S&P500,Eurostoxx 50,Hang Seng,MSCI EM,SMI,US T 10-year Yield,German Gov 10-year yield,Oil futures,Gold,EURUSD,USDJPY,US IG Bonds,US HY Bonds,USDCHF
2001-06-27,0.2170369704479556,0.22181745506653563,0.2858791634335994,0.1904354500606136,0.14556537029569847,92.07942764817729,51.304672884260334,0.41608876491836494,0.12805127214362272,0.12560633305986968,0.09795864381422473,0.042328047341929013,0.03226150909014444,0.11203830856474638
2001-06-28,0.21720932046858474,0.22039910981073707,0.28591798535819324,0.1901265661446379,0.14727028087996102,92.42110709062378,51.03417519124024,0.41606182418737697,0.12851235161119015,0.12680748731527225,0.09798075088606707,0.042616023923077395,0.03224850552339491,0.11359348173235162
2001-06-29,0.21691749494736637,0.22059659653127156,0.28508401728598215,0.18915456292371338,0.14782056269383428,92.46362717629881,51.716938127107156,0.4161722158011502,0.12863912944705255,0.12692123814549225,0.09787221683271959,0.04268600346619969,0.032217640043278754,0.11367585490467405
2001-07-10,0.21722003436395335,0.22074408980310825,0.28506872826472107,0.1889112431078726,0.14827881491457623,92.2621615516526,51.69892558625285,0.41334297711241746,0.12844387336370575,0.12681612113319138,0.09742094930345499,0.042698346789003444,0.03217223546220609,0.11387626002271124
2001-07-11,0.2172165531829953,0.22029359771455034,0.2846438220621739,0.1893462453512077,0.14848782129257748,91.5624890574214,51.8998096243505,0.4133920235839443,0.12868514821185767,0.1268652285298825,0.09781812449381395,0.042121737770116845,0.03216348330114187,0.11400328113719786
2001-07-12,0.2175739155531833,0.2205255185635474,0.28480696934083155,0.18929020266065408,0.14917729307607702,91.52545114431989,51.85067594560303,0.41030560164617197,0.1288196583710704,0.1269938844798276,0.09723449641808597,0.04187418956394095,0.03215310076977048,0.11382526170922998
2001-07-13,0.21701111251643307,0.22072761806605484,0.2845419519490038,0.18819154498236296,0.14912258386963684,91.5008553723107,51.86820570779958,0.41037207700088596,0.12882444722692957,0.1268353301491851,0.09754243641979386,0.04185293989967146,0.03215238299873555,0.11381589189703478
2001-07-16,0.20901716243835222,0.2190967301280732,0.28430029451113864,0.18586640916193264,0.14872235239871592,91.44062319188934,51.79041280936215,0.410763889709063,0.12877627722911145,0.12641495750196818,0.09691026181697558,0.041931429450899164,0.032205722799666985,0.11334321048539807
2001-07-17,0.20659750030233945,0.21889473342951568,0.2702728090257671,0.1769730052059699,0.1471877014536337,89.45289285339301,51.80884249390029,0.4109657317319023,0.1287838247770332,0.12636599931527806,0.09699066191194362,0.041705473534180124,0.03224720059410602,0.11349233317402146
2001-07-18,0.20455558791434006,0.21912877096241418,0.26801089603135286,0.17482926107518765,0.14729287640321764,90.06539169334948,51.78014526654692,0.4116970810306984,0.12909190960543723,0.12721162872490563,0.09743529089228414,0.04195812697889075,0.03224613023892442,0.11451777984005589
2001-07-19,0.20448821067134587,0.22012972615327558,0.2680279664607259,0.17477291504288023,0.14862790761154243,89.8754115517342,51.71848307552597,0.40901353746262076,0.12915120212569647,0.12713807194266677,0.0975772261087253,0.04185015416136948,0.032206026762688286,0.11454171725659801
2001-07-20,0.20424745119387655,0.21960963779701245,0.26788829567095973,0.17477325216284337,0.14886357515898688,89.91653411675571,51.602353493380285,0.4097839807125389,0.12883988696608914,0.12710006283320216,0.09763591710779541,0.04183243556557961,0.03222692696948702,0.11450836357270426
2001-07-23,0.20480189876101587,0.21941042620436504,0.26792124355999114,0.1747341905567727,0.1487965530238836,89.3982129468348,51.56900731967074,0.40911948253869135,0.1288500073762601,0.12627134858947714,0.09822628946465374,0.04128152871147248,0.0323092045318132,0.1137061550216538
2001-07-24,0.20524000827833006,0.21805957159777695,0.26699617334644266,0.17410741125167487,0.15042022813545258,89.40380015453304,51.57102683836484,0.4089810066685915,0.12825574986020144,0.12638261047726893,0.09702645405740391,0.04118303772763307,0.03231179720619167,0.11366217673590447
2001-07-27,0.20421262742090665,0.21792793361536839,0.2669121840299471,0.17345429506224308,0.15086180360712884,88.78697187370432,51.587217459166006,0.4091232063698137,0.12776839569436452,0.1252690213332188,0.09693169508992312,0.04106159857020268,0.03242065679116002,0.11341129997655604
2001-07-30,0.20419161684053905,0.21854468656441844,0.2665118227328728,0.1735037993035039,0.15112462139046384,88.76705986082129,51.423061730018006,0.40924413549627287,0.12791830419536487,0.12518287468654424,0.09721340612683098,0.04097290332175817,0.03251184627269598,0.11312596598828052
2001-07-31,0.2035663554971168,0.21865465483427426,0.2672309762105713,0.1733856013179208,0.151200832968573,88.3658079572423,51.464338978113595,0.40917035758430015,0.1279758589138874,0.12492022863053145,0.0971403306756593,0.040948738426606165,0.03244282831288166,0.11302496112023568
2001-08-01,0.20356554183820572,0.21835845089414407,0.2665337009738471,0.17328772849056398,0.15152992815369842,88.18176537708855,51.435730380358706,0.4084207484974437,0.12776502471993578,0.12503175670390757,0.09715083788487834,0.04080300642835242,0.03248391774462844,0.11325515821959564
2001-08-02,0.2034858062113797,0.21763342575920158,0.26642078555039456,0.1737749069592604,0.15123142162595152,88.5718964268766,51.36414149069073,0.4094396343530035,0.12776487991459046,0.12458516837916056,0.09748677054351158,0.04095468871863105,0.03249708729860937,0.11307754334907401
