,Rolling_average_correlation
1994-09-16,0.02226109366501836
1994-09-19,0.022132736848209107
1994-09-20,0.021793111256778453
1994-09-23,0.021680120157602022
1994-09-26,0.021844295763148232
1994-09-27,0.021924418031328705
1994-09-28,0.022106278812026408
1994-09-29,0.02242010868969911
1994-09-30,0.022413577886173965
1994-10-05,0.022899698217103012
1994-10-06,0.022800336094231925
1994-10-07,0.022930538091141494
1994-10-12,0.023367505463123536
1994-10-17,0.02387125080000602
1994-10-18,0.023851166819398736
1994-10-19,0.02388593228664198
1994-10-20,0.02394351464509237
1994-10-21,0.023903024062388117
1994-10-24,0.023996196417384257
1994-10-25,0.024049228677747624
1994-10-26,0.02440632201565438
1994-10-27,0.02463583968571624
1994-10-28,0.025269843747346605
1994-10-31,0.025229977948293725
1994-11-01,0.025033093407364385
1994-11-02,0.02477517230011179
1994-11-03,0.024030000164419283
1994-11-04,0.023785271333267525
1994-11-07,0.023215900892843304
1994-11-08,0.02382278930025364
1994-11-09,0.023266100580910453
1994-11-10,0.023047135298020757
1994-11-15,0.02258442091602005
1994-11-18,0.022552302605159842
1994-11-21,0.02202313363638371
1994-11-22,0.02375691973108302
1994-11-23,0.023414980008935844
1994-11-29,0.023050411377211425
1994-11-30,0.02317679186216871
1994-12-01,0.023386985005464798
1994-12-02,0.023162944542029412
1994-12-05,0.022940733892397272
1994-12-06,0.023020593865808205
1994-12-07,0.023409992396435587
1994-12-08,0.02332273953283272
1994-12-09,0.023518394208647795
1994-12-12,0.023612477829469906
1994-12-13,0.024024611583237414
1994-12-14,0.024921227919402347
1994-12-15,0.024997931408899256
1994-12-16,0.02530109178395874
1994-12-19,0.025645003674336777
1994-12-20,0.025573443045635923
1994-12-21,0.02578590702061738
1994-12-22,0.02586258910489204
1994-12-23,0.025962437664339266
1994-12-29,0.02580300374567432
1995-01-04,0.025576509216799926
1995-01-05,0.0257697368925163
1995-01-06,0.024346842290659844
1995-01-09,0.023918474564655477
1995-01-10,0.022576727144513937
1995-01-11,0.022521588983002435
1995-01-12,0.022285840884023037
1995-01-13,0.02215666621120733
1995-01-18,0.022157165082086004
1995-01-19,0.02268581181988268
1995-01-20,0.022392864682006842
1995-01-23,0.023151301656938933
1995-01-24,0.02325164524655448
1995-01-25,0.022952103324589135
1995-01-26,0.023105742550128917
1995-01-27,0.02305660285280445
1995-01-30,0.022245013732157804
1995-02-06,0.022323800019228218
1995-02-07,0.02189577074275517
1995-02-08,0.021648566500971824
1995-02-09,0.02174897877095939
1995-02-10,0.021845648206882454
1995-02-13,0.021995196312136932
1995-02-14,0.021765595446510095
1995-02-15,0.021237263705109956
1995-02-16,0.021003618284934866
1995-02-17,0.02015394924634762
1995-02-22,0.020085849597712587
1995-02-23,0.02026974275688117
1995-02-24,0.020421787913544213
1995-02-27,0.02015819573169733
1995-02-28,0.020154743282472267
1995-03-01,0.020187463555833556
1995-03-02,0.020442524312624128
1995-03-03,0.0197745181335375
1995-03-06,0.020390921936587727
1995-03-07,0.020600972677647954
1995-03-08,0.020141249846211594
